Event,Event Description,Event Number of Properties,Event Property,Property Description
sme.invoicing.mobile.common.events.create.providedServicesAct.signerList.createButton.tapped,,0,,
sme.invoicing.mobile.common.events.create.providedServicesAct.signerOptions.toggleSign.tapped,,1,option,
sme.invoicing.mobile.common.events.create.providedServicesAct.signerOptions.toggleStamp.tapped,,1,option,
sme.invoicing.mobile.common.events.create.signsStampsOnboarding.screen.shown,,0,,
sme.platform.mobile.companyChange.common.events.companyChangeScreen.clicked,,1,option,
sme.platform.mobile.newProducts.android,,0,,
sme.rko.accounts.mobile.common.events.account.actions.openRequisitesClicked,,2,accountDescriptor,
,,,currencyCode,
sme.rko.cashManagement.mobile.common.events.bottomMenu.chat.clicked,,0,,
sme.rko.cashManagement.mobile.common.events.bottomMenu.main.clicked,,0,,
sme.rko.cashManagement.mobile.common.events.bottomMenu.more.clicked,,0,,
sme.rko.cashManagement.mobile.common.events.mainScreen.accountItems.clicked,,0,,
sme.rko.cashManagement.mobile.common.events.mainScreen.balancesBlock.clicked,,0,,
sme.rko.cashManagement.mobile.common.events.mainScreen.balancesBlock.currenciesSwiped,,0,,
sme.rko.cashManagement.mobile.common.events.mainScreen.companyItems.clicked,,0,,
sme.rko.cashManagement.mobile.common.events.mainScreen.companyItems.expandClicked,,1,state,
sme.rko.cashManagement.mobile.common.events.mainScreen.displayed,,1,state,
sme.rko.cashManagement.mobile.common.events.mainScreen.startScreenBanner.accepted,,0,,
sme.rko.cashManagement.mobile.common.events.mainScreen.startScreenBanner.dismissed,,0,,
sme.rko.cashManagement.mobile.common.events.mainScreen.startScreenBanner.displayed,,0,,
sme.rko.cashManagement.mobile.common.events.moreScreen.info.aboutApp.clicked,,0,,
sme.rko.cashManagement.mobile.common.events.moreScreen.info.atms.clicked,,0,,
sme.rko.cashManagement.mobile.common.events.moreScreen.info.clicked,,0,,
sme.rko.cashManagement.mobile.common.events.moreScreen.info.contactBank.clicked,,0,,
sme.rko.cashManagement.mobile.common.events.moreScreen.info.help.clicked,,0,,
sme.rko.cashManagement.mobile.common.events.moreScreen.info.replenishPoints.clicked,,0,,
sme.rko.cashManagement.mobile.common.events.moreScreen.info.whatsNew.clicked,,0,,
sme.rko.cashManagement.mobile.common.events.moreScreen.settings.application.clicked,,0,,
sme.rko.cashManagement.mobile.common.events.moreScreen.settings.application.entryScreenSelector.changed,,1,state,
sme.rko.cashManagement.mobile.common.events.moreScreen.settings.authorization.clicked,,0,,
sme.rko.cashManagement.mobile.common.events.moreScreen.settings.clicked,,0,,
sme.rko.sbp.mobile.common.events.details.closed,,0,,
sme.rko.sbp.mobile.common.events.details.opened,,1,type,
sme.rko.sbp.mobile.common.events.details.refund.clicked,,0,,
sme.rko.sbp.mobile.common.events.input.amount.error,,1,amount,
sme.rko.sbp.mobile.common.events.input.amount.focused,,0,,
sme.rko.sbp.mobile.common.events.input.closed,,0,,
sme.rko.sbp.mobile.common.events.input.create.clicked,,0,,
sme.rko.sbp.mobile.common.events.input.displayed,,0,,
sme.rko.sbp.mobile.common.events.input.error,,0,,
sme.rko.sbp.mobile.common.events.input.error.button.clicked,,0,,
sme.rko.sbp.mobile.common.events.input.opened,,0,,
sme.rko.sbp.mobile.common.events.input.shop.clicked,,0,,
sme.rko.sbp.mobile.common.events.operations.closed,,0,,
sme.rko.sbp.mobile.common.events.operations.date.clear,,0,,
sme.rko.sbp.mobile.common.events.operations.date.clicked,,0,,
sme.rko.sbp.mobile.common.events.operations.error,,0,,
sme.rko.sbp.mobile.common.events.operations.item.clicked,,1,type,
sme.rko.sbp.mobile.common.events.operations.items.displayed,,1,page,
sme.rko.sbp.mobile.common.events.operations.items.empty.displayed,,0,,
sme.rko.sbp.mobile.common.events.operations.items.error,,0,,
sme.rko.sbp.mobile.common.events.operations.items.filtered.empty.displayed,,0,,
sme.rko.sbp.mobile.common.events.operations.items.nextPageRetry.clicked,,0,,
sme.rko.sbp.mobile.common.events.operations.items.nextPageRetry.displayed,,0,,
sme.rko.sbp.mobile.common.events.operations.items.retry.clicked,,0,,
sme.rko.sbp.mobile.common.events.operations.opened,,0,,
sme.rko.sbp.mobile.common.events.operations.pulldownRefresh.displayed,,0,,
sme.rko.sbp.mobile.common.events.operations.shop.clicked,,0,,
sme.rko.sbp.mobile.common.events.operations.shop.displayed,,0,,
sme.rko.sbp.mobile.common.events.qrCode.closed,,0,,
sme.rko.sbp.mobile.common.events.qrCode.displayed,,0,,
sme.rko.sbp.mobile.common.events.qrCode.error,,1,errorType,
sme.rko.sbp.mobile.common.events.qrCode.error.button.clicked,,0,,
sme.rko.sbp.mobile.common.events.qrCode.expired,,0,,
sme.rko.sbp.mobile.common.events.qrCode.opened,,0,,
sme.rko.sbp.mobile.common.events.qrCode.payment.error,,1,errorType,
sme.rko.sbp.mobile.common.events.qrCode.payment.error.button.clicked,,0,,
sme.rko.sbp.mobile.common.events.qrCode.payment.screenshot.detected,,0,,
sme.rko.sbp.mobile.common.events.qrCode.payment.success,,0,,
sme.rko.sbp.mobile.common.events.qrCode.retry.clicked,,0,,
sme.rko.sbp.mobile.common.events.refund.amount.focused,,0,,
sme.rko.sbp.mobile.common.events.refund.buttonRefund.clicked,,0,,
sme.rko.sbp.mobile.common.events.refund.closed,,0,,
sme.rko.sbp.mobile.common.events.refund.notification.amountValidateFailed,,0,,
sme.rko.sbp.mobile.common.events.refund.opened,,0,,
sme.rko.sbp.mobile.common.events.refund.refund.amountExceed,,0,,
sme.rko.sbp.mobile.common.events.refund.refund.error,,1,errorType,
sme.rko.sbp.mobile.common.events.refund.refund.success,,0,,
sme.rko.sbp.mobile.common.events.shopPicker.closed,,0,,
sme.rko.sbp.mobile.common.events.shopPicker.newPoint.clicked,,0,,
sme.rko.sbp.mobile.common.events.shopPicker.opened,,0,,
sme.rko.sbp.mobile.common.events.shopPicker.search.cleared,,0,,
sme.rko.sbp.mobile.common.events.shopPicker.search.focused,,1,status,
sme.rko.sbp.mobile.common.events.shopPicker.search.nothingFound.displayed,,0,,
sme.rko.sbp.mobile.common.events.shopPicker.search.nothingFound.newPoint.clicked,,0,,
sme.rko.sbp.mobile.common.events.shopPicker.select.clicked,,0,,
sme.rko.sbp.mobile.common.events.shopPicker.selectAll.clicked,,0,,
sme.rko.sbp.mobile.common.events.shopPicker.shop.pick,,0,,
sme.rko.sbp.mobile.common.events.shopPicker.shop.select,,0,,
sme.rko.sbp.mobile.common.events.shopPicker.shop.unselect,,0,,
sme.rko.sbp.mobile.common.events.shopPicker.unselectAll.clicked,,0,,
sme.rko.tariffs.mobile.common.events.unlimitpaysPromo.connectionScreen.closed,,0,,
sme.rko.tariffs.mobile.common.events.unlimitpaysPromo.connectionScreen.load.error,,0,,
sme.rko.trafficFines.mobile.common.events.createSubscriptionPage.closed,,0,,
sme.rko.trafficFines.mobile.common.events.createSubscriptionPage.displayed,,0,,
sme.rko.trafficFines.mobile.common.events.createSubscriptionPage.items.clicked,,1,choice,
sme.rko.trafficFines.mobile.common.events.mainPage.qrPayButton.clicked,,0,,
sme.salary.android.events.payment.pay.start,,7,companyId,
,,,eventSource,
,,,prevSubmitted,
,,,recipientCount,
,,,recipientType,
,,,registryNumber,
,,,registryType,
sme.salary.android.events.payment.submit.start,,6,companyId,
,,,eventSource,
,,,recipientCount,
,,,recipientType,
,,,registryNumber,
,,,registryType,
sme.salary.common.events.recipients.create.formShown,,6,addType,
,,,applicationType,
,,,companyId,
,,,isInternal,
,,,recipientsCount,
,,,recipientType,
sme.salary.common.events.recipients.create.start,,6,addType,
,,,applicationType,
,,,companyId,
,,,isInternal,
,,,recipientsCount,
,,,recipientType,
sme.salary.common.events.recipients.create.success,,6,addType,
,,,applicationType,
,,,companyId,
,,,isInternal,
,,,recipientsCount,
,,,recipientType,
SMEINV.createDocument.productDetailShown,,2,documentType,
,,,from,
SMEINV.createDocument.productsList.productsApplied,,3,count,
,,,documentType,
,,,from,
SMEINV.createDocument.productsStep.itemAmountChanged,,2,amount,
,,,documentType,
SMEINV.trackingItemDetail.dataApplied,,8,amount,
,,,hasNumber,
,,,hasUnitDiff,
,,,mode,
,,,parentUnit,
,,,parentUnitCode,
,,,unit,
,,,unitCode,
SmsCode_Entered,,1,fill_param,
SmsCode_Failure,,1,failure_reason,
Sound_Status,,1,status,
sounds_toggle_tapped,,1,action,
soundsToggleTapped.soundsToggleTapped,,2,action,
,,,project,
soundStoryAction,,5,action,
,,,method,
,,,name,
,,,step,
,,,storyId,
Spotlight_Search_Enter,,0,,
SSTariff_Close,,0,,
SSTariff_Shown,,3,from,
,,,privilegeClient,
,,,rkoTariff,
SSTariff_SuccessScreen_Shown,,3,from,
,,,privilegeClient,
,,,rkoTariff,
SSTariff_TurnOn,,0,,
SSTariff_UserAgreement_Clicked,,0,,
Statement_Down_mb,,8,accountingFormats,
,,,accountType,
,,,date_from,
,,,date_to,
,,,excerptType,
,,,paymentOrdersFormats,
,,,paymentSubmittedFormats,
,,,period,
Statement_Error_mb,,8,accountingFormats,
,,,accountType,
,,,date_from,
,,,date_to,
,,,excerptType,
,,,paymentOrdersFormats,
,,,paymentSubmittedFormats,
,,,period,
Statement_Shown_mb,,1,excerptType,
statusScreen.addDocumentsButton.clicked,,1,applicationId,
statusScreen.addInnButton.clicked,,0,,
statusScreen.detailsButton.clicked,,2,applicationId,
,,,status,
statusScreen.shown,,2,applicationId,
,,,status,
Stories_Received,,25,0,
,,,1,
,,,10,
,,,11,
,,,12,
,,,13,
,,,14,
,,,15,
,,,16,
,,,17,
,,,18,
,,,19,
,,,2,
,,,20,
,,,21,
,,,22,
,,,23,
,,,24,
,,,3,
,,,4,
,,,5,
,,,6,
,,,7,
,,,8,
,,,9,
Story_LastStep_Shown,,3,name,
,,,stepCount,
,,,storyId,
Story_Long_Tap,,3,name,
,,,step,
,,,storyId,
Story_Share_Tap,,4,app_name,
,,,name,
,,,step,
,,,storyId,
Story_Step_Show,,2,step,
,,,storyId,
Story_Swipe,,3,direction,
,,,name,
,,,storyId,
successPage.actions.addToFavorite.clicked,,1,providerCode,
successPage.actions.addToFavorite.error,,2,paymentStatus,
,,,providerCode,
successPage.actions.addToFavorite.success,,2,paymentStatus,
,,,providerCode,
suggest.shown,,2,size,
,,,typingText,
suggest.tap,,3,position,
,,,suggestText,
,,,text,
Suggest_Shown,,2,size,
,,,typing_text,
Suggest_Tap,,3,position,
,,,suggest_text,
,,,text,
Tariffs.mainPage.arrangeAnnualSubscription.pressed,,1,tariffCode,
Tariffs.mainPage.changeTariff.pressed,,2,currentTariffCode,
,,,targetTariffCode,
Tariffs.mainPage.conditions.inHeader.hint.freeDays.pressed,,1,tariffCode,
Tariffs.mainPage.load.error,,0,,
Tariffs.mainPage.load.success,,0,,
Tariffs.mainPage.packages.pressed,,1,tariffCode,
Tariffs.mainPage.scrolled,,1,tariffCode,
Tariffs_Change_Down_Shown,,0,,
Tariffs_Change_Up_Shown,,0,,
Tariffs_Comparison_Shown,,2,tariffCodeCompare,
,,,tariffCodeCurrent,
taxSystem.continueButton.clicked,,5,applicationId,
,,,clientExist,
,,,isEio,
,,,opf,
,,,taxSystem,
Telephone_Input_Changed,,0,,
Telephone_Input_Clear,,0,,
Telephone_Input_Failure,,1,failure_reason,
TextToChat,,2,send,
,,,text,
Tinkoff_Business_Create_Application,,137,accountNumber,
,,,ad_event_id,
,,,ad_id,
,,,adgroup,
,,,adgroup_id,
,,,adset,
,,,adset_id,
,,,advertising_id,
,,,af_ad,
,,,af_ad_id,
,,,af_ad_orientation,
,,,af_ad_type,
,,,af_adset,
,,,af_adset_id,
,,,af_android_url,
,,,af_c_id,
,,,af_channel,
,,,af_click_lookback,
,,,af_cost_currency,
,,,af_cost_model,
,,,af_cost_value,
,,,af_deeplink,
,,,af_dp,
,,,af_force_dp,
,,,af_installpostback,
,,,af_ios_url,
,,,af_ip,
,,,af_keywords,
,,,af_lang,
,,,af_message,
,,,af_model,
,,,af_os,
,,,af_prt,
,,,af_r,
,,,af_reengagement_window,
,,,af_ref,
,,,af_siteid,
,,,af_source_platform,
,,,af_status,
,,,af_sub1,
,,,af_sub2,
,,,af_sub5,
,,,af_sub_siteid,
,,,af_subsiteid,
,,,af_ua,
,,,af_viewthrough_lookback,
,,,af_web_dp,
,,,af_web_id,
,,,af_xp,
,,,aff_sub1,
,,,agency,
,,,agreementNumber,
,,,android_id,
,,,application_id,
,,,appType,
,,,callback,
,,,callback_url,
,,,campaign,
,,,campaign_id,
,,,click-timestamp,
,,,click_time,
,,,clickid,
,,,clone,
,,,companyId,
,,,cost_alt,
,,,cost_cents_USD,
,,,dsp_click_id,
,,,erid,
,,,etext,
,,,expires,
,,,external_account_id,
,,,from,
,,,game_id,
,,,gamer_id,
,,,goalid_1,
,,,google_aid,
,,,host,
,,,http_referrer,
,,,httpMethod,
,,,id,
,,,idfa,
,,,impression_timestamp,
,,,inn,
,,,install_time,
,,,integrationId,
,,,internal_source,
,,,ip,
,,,is_fb,
,,,is_first_launch,
,,,is_incentivized,
,,,is_lat,
,,,is_mobile_data_terms_signed,
,,,is_paid,
,,,is_retargeting,
,,,is_s2s,
,,,iscache,
,,,lat,
,,,link,
,,,match_type,
,,,md5_advertising_id,
,,,md5_oaid,
,,,media_source,
,,,network,
,,,network_account_id,
,,,oaid,
,,,orig_cost,
,,,orig_cost_alt,
,,,os,
,,,path,
,,,paymentId,
,,,productId,
,,,publisher_id,
,,,redirect,
,,,referrer,
,,,referrer_gclid,
,,,retargeting_conversion_type,
,,,sales_method,
,,,scheme,
,,,sha1_advertising_id,
,,,sha1_android_id,
,,,short_link,
,,,shortlink,
,,,signature,
,,,source,
,,,source_caller,
,,,sub2,
,,,sub3,
,,,sub_publisher_id,
,,,text,
,,,transaction_id,
,,,ucid,
,,,utm_campaign,
,,,utm_content,
,,,utm_medium,
,,,utm_referrer,
,,,utm_source,
,,,yclid,
Tinkoff_Business_Double_Tab,,0,,
tinkoff_business_exit,,0,,
Tinkoff_Business_Install,,141,_,
,,,ad_event_id,
,,,ad_id,
,,,adgroup,
,,,adgroup_id,
,,,adset,
,,,adset_id,
,,,adv,
,,,advertising_id,
,,,af_ad,
,,,af_ad_id,
,,,af_ad_orientation,
,,,af_ad_type,
,,,af_adset,
,,,af_adset_id,
,,,af_android_url,
,,,af_c_id,
,,,af_channel,
,,,af_click_lookback,
,,,af_cost_currency,
,,,af_cost_model,
,,,af_cost_value,
,,,af_deeplink,
,,,af_dp,
,,,af_force_dp,
,,,af_installpostaback,
,,,af_installpostback,
,,,af_ios_url,
,,,af_ip,
,,,af_keywords,
,,,af_lang,
,,,af_message,
,,,af_model,
,,,af_mp,
,,,af_os,
,,,af_prt,
,,,af_r,
,,,af_reengagement_window,
,,,af_ref,
,,,af_siteid,
,,,af_source_platform,
,,,af_status,
,,,af_sub1,
,,,af_sub2,
,,,af_sub5,
,,,af_sub_siteid,
,,,af_subsiteid,
,,,af_ua,
,,,af_viewthrough_lookback,
,,,af_web_dp,
,,,af_xp,
,,,aff_sub1,
,,,agency,
,,,android_id,
,,,app_name,
,,,appname,
,,,baobab_event_id,
,,,callback,
,,,callback_url,
,,,campaign,
,,,campaign_id,
,,,click-timestamp,
,,,click_time,
,,,clickid,
,,,clid,
,,,cost_alt,
,,,cost_cents_USD,
,,,country_id,
,,,deep_link_sub1,
,,,deep_link_value,
,,,device-type,
,,,dlysa,
,,,dsp_click_id,
,,,erid,
,,,etext,
,,,expires,
,,,external_account_id,
,,,fbclid,
,,,from,
,,,game_id,
,,,gamer_id,
,,,goalid_1,
,,,google_aid,
,,,http_referrer,
,,,httpMethod,
,,,idfa,
,,,idfv,
,,,impression_timestamp,
,,,impressionid,
,,,install_time,
,,,internal_source,
,,,ip,
,,,is_fb,
,,,is_first_launch,
,,,is_incentivized,
,,,is_lat,
,,,is_mobile_data_terms_signed,
,,,is_paid,
,,,is_retargeting,
,,,is_s2s,
,,,iscache,
,,,isLimitAdTrackingEnabled,
,,,keyword_id,
,,,lat,
,,,match_type,
,,,md5_advertising_id,
,,,md5_oaid,
,,,media_source,
,,,network,
,,,network_account_id,
,,,oaid,
,,,orig_cost,
,,,orig_cost_alt,
,,,os,
,,,platform,
,,,publisher_id,
,,,reason,
,,,redirect,
,,,referrer,
,,,referrer_gclid,
,,,retargeting_conversion_type,
,,,sha1_advertising_id,
,,,sha1_android_id,
,,,sha1_idfa,
,,,short_link,
,,,shortlink,
,,,signature,
,,,string_response,
,,,sub1,
,,,sub2,
,,,sub3,
,,,sub_publisher_id,
,,,transaction_id,
,,,utm_campaign,
,,,utm_content,
,,,utm_medium,
,,,utm_referrer,
,,,utm_source,
,,,wprid,
,,,yclid,
,,,yhid,
TinkoffAccounting_InstallOnbording_Close,,0,,
TinkoffAccounting_InstallOnbording_Install_Clicked,,0,,
TinkoffAccounting_InstallOnbording_Shown,,0,,
unlimitpaysPromo.connectionScreen.closed,,0,,
unlimitpaysPromo.connectionScreen.load.error,,0,,
Update_Favorite,,1,accept,
Upload_Click,,2,agrType,
,,,problemFlg,
userAuthorized.onUserLogin,,2,localSessionId,
,,,project,
userAuthorized.pinCodeScreen.confirmationSubmitError,,2,project,
,,,source,
userAuthorized.pinCodeScreen.confirmationSubmitSuccess,,1,project,
userNotAuthorized.pinCodeScreen.setupSubmitError,,2,project,
,,,source,
userNotAuthorized.pinCodeScreen.setupSubmitSuccess,,1,project,
WelcomeOnboarding_ButtonClick,,1,option,
WelcomeOnboarding_ButtonDenied,,1,chooseDenied,
WelcomeOnboarding_Completed,,1,step,
WelcomeOnboarding_Shown,,1,group,
WelcomeOnboarding_ShownRefill,,1,chooseRefill,
WelcomeOnboarding_TariffClick,,0,,
What_New_Install,,0,,
What_New_Update,,2,currentVersion,
,,,newVersion,
